"STATION","NAME","DATE","DP10","DT32","DX90","PRCP","TAVG","TMAX","TMIN"
"USC00027716","SELIGMAN, AZ US","2016-05","3","0","0","1.28","57.7","74.3","41.1"
"USC00027716","SELIGMAN, AZ US","2016-06","1","0","20","0.10","73.1","92.6","53.7"
"USC00027716","SELIGMAN, AZ US","2016-07","4","0","26","1.18","75.3","92.8","57.8"
"USC00027716","SELIGMAN, AZ US","2016-08","5","0","10","2.97","71.5","86.8","56.2"
"USC00027716","SELIGMAN, AZ US","2016-09","4","0","4","2.35","65.4","82.2","48.6"
"USC00027716","SELIGMAN, AZ US","2016-10","1","1","0","0.19","59.8","77.4","42.2"
"USC00027716","SELIGMAN, AZ US","2016-11","3","17","0","0.75","48.2","64.3","32.1"
"USC00027716","SELIGMAN, AZ US","2016-12","5","28","0","2.32","40.0","54.1","25.9"
"USC00027716","SELIGMAN, AZ US","2017-01","5","24","0","1.22","36.7","47.4","26.0"
"USC00027716","SELIGMAN, AZ US","2017-02","3","17","0","1.18","44.6","58.2","31.0"
"USC00027716","SELIGMAN, AZ US","2017-03","2","17","0","0.81","50.8","70.1","31.6"
"USC00027716","SELIGMAN, AZ US","2017-04","2","13","0","0.29","53.6","72.9","34.3"
"USC00027716","SELIGMAN, AZ US","2017-05","2","4","0","0.98","59.8","78.8","40.7"
"USC00027716","SELIGMAN, AZ US","2017-06","0","0","24","0.00","72.7","95.6","49.7"
"USC00027716","SELIGMAN, AZ US","2017-07","12","0","24","3.43","76.5","93.5","59.6"
"USC00027716","SELIGMAN, AZ US","2017-08","4","0","18","0.98","72.8","90.5","55.0"
"USC00027716","SELIGMAN, AZ US","2017-09","6","2","10","1.69","66.0","83.8","48.1"
"USC00027716","SELIGMAN, AZ US","2017-10","0","8","0","0.00","58.2","79.6","36.8"
"USC00027716","SELIGMAN, AZ US","2017-11","0","19","0","0.00","50.7","69.7","31.7"
"USC00027716","SELIGMAN, AZ US","2017-12","0","29","0","0.00","42.5","62.3","22.6"
"USC00027716","SELIGMAN, AZ US","2018-01","2","24","0","0.92","43.7","60.8","26.5"
"USC00027716","SELIGMAN, AZ US","2018-02","1","24","0","0.81","40.7","58.1","23.3"
"USC00027716","SELIGMAN, AZ US","2018-03","1","18","0","0.68","46.4","63.0","29.8"
"USC00027716","SELIGMAN, AZ US","2018-04","0","9","0","0.00","56.4","76.1","36.6"
"USC00027716","SELIGMAN, AZ US","2018-05","0","1","3","0.09","60.8","81.2","40.4"
"USC00027716","SELIGMAN, AZ US","2018-06","1","0","21","0.22","71.1","92.8","49.5"
"USC00027716","SELIGMAN, AZ US","2018-07","9","0","23","4.78","76.9","93.8","59.9"
"USC00027716","SELIGMAN, AZ US","2018-08","7","0","19","4.31","73.8","90.8","56.7"
"USC00027716","SELIGMAN, AZ US","2018-09","0","0","11","0.05","68.4","88.3","48.5"
"USC00027716","SELIGMAN, AZ US","2018-10","4","2","0","2.29","55.3","69.3","41.3"
"USC00027716","SELIGMAN, AZ US","2018-11","1","24","0","0.19","45.1","62.4","27.8"
"USC00027716","SELIGMAN, AZ US","2018-12","1","29","0","0.20","39.1","55.3","22.8"
"USC00027716","SELIGMAN, AZ US","2019-01","3","25","0","2.07","38.7","53.1","24.3"
"USC00027716","SELIGMAN, AZ US","2019-02","7","24","0","2.90","35.5","49.0","22.1"
"USC00027716","SELIGMAN, AZ US","2019-03","2","22","0","0.78","45.9","61.7","30.2"
"USC00027716","SELIGMAN, AZ US","2019-04","2","6","0","0.57","54.4","72.2","36.5"
"USC00027716","SELIGMAN, AZ US","2019-05","6","8","0","1.46","53.8","70.7","36.9"
"USC00027716","SELIGMAN, AZ US","2019-06","0","0","14","0.00","68.1","88.5","47.6"
"USC00027716","SELIGMAN, AZ US","2019-07","2","0","26","0.60","74.2","93.6","54.9"
"USC00027716","SELIGMAN, AZ US","2019-09","2","1","10","0.40","67.6","85.7","49.4"
"USC00027716","SELIGMAN, AZ US","2019-10","0","16","0","0.00","52.9","74.1","31.7"
"USC00027716","SELIGMAN, AZ US","2019-11","4","24","0","4.49","45.9","64.5","27.2"
"USC00027716","SELIGMAN, AZ US","2019-12","6","29","0","1.43","36.2","47.9","24.5"
"USC00027716","SELIGMAN, AZ US","2020-01","1","28","0","0.15","39.3","54.9","23.6"
"USC00027716","SELIGMAN, AZ US","2020-02","2","24","0","0.48","41.8","60.8","22.8"
"USC00027716","SELIGMAN, AZ US","2020-03","5","20","0","2.14","45.5","60.0","31.0"
"USC00027716","SELIGMAN, AZ US","2020-04","3","12","1","0.63","52.7","70.8","34.5"
"USC00027716","SELIGMAN, AZ US","2020-05","1","1","7","0.23","62.7","83.7","41.7"
"USC00027716","SELIGMAN, AZ US","2020-06","0","0","18","0.00","69.2","90.2","48.2"
"USC00027716","SELIGMAN, AZ US","2020-07","1","0","27","0.30","75.0","95.3","54.8"
"USC00027716","SELIGMAN, AZ US","2020-09","0","0","20","0.00","69.7","91.2","48.3"
"USC00027716","SELIGMAN, AZ US","2020-10","0","6","8","0.00","59.3","82.5","36.1"
"USC00027716","SELIGMAN, AZ US","2020-11","1","20","0","0.23","47.9","66.5","29.2"
"USC00027716","SELIGMAN, AZ US","2020-12","1","29","0","0.16","37.2","55.0","19.5"
"USC00027716","SELIGMAN, AZ US","2021-01","4","30","0","1.26","36.9","53.4","20.5"
"USC00027716","SELIGMAN, AZ US","2021-02","0","24","0","0.00","40.6","59.0","22.2"
"USC00027716","SELIGMAN, AZ US","2021-03","3","25","0","0.56","43.5","60.4","26.6"
"USC00027716","SELIGMAN, AZ US","2021-04","1","7","0","0.48","55.3","75.2","35.3"
"USC00027716","SELIGMAN, AZ US","2021-05","0","2","1","0.00","61.3","82.0","40.6"
"USC00027716","SELIGMAN, AZ US","2021-06","1","0","20","0.28","74.2","95.0","53.4"
"USC00027716","SELIGMAN, AZ US","2021-07","7","0","20","4.10","77.7","93.8","61.6"
"USC00027716","SELIGMAN, AZ US","2021-08","3","0","22","1.13","74.3","91.7","56.8"
"USC00027716","SELIGMAN, AZ US","2021-09","3",,,"0.76",,,
"USC00027716","SELIGMAN, AZ US","2021-10","2","8","0","0.50","53.6","71.6","35.5"
"USC00027716","SELIGMAN, AZ US","2021-11","0","19","0","0.00","50.2","69.6","30.8"
"USC00027716","SELIGMAN, AZ US","2021-12","4","22","0","1.00","40.2","54.3","26.0"
"USC00027716","SELIGMAN, AZ US","2022-01","0","30","0","0.05","39.4","56.3","22.4"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-01","3","29","0","0.68","32.1","45.1","19.1"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-02","1","28","0","0.23","38.0","51.2","24.9"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-03","5","25","0","1.97","39.0","50.9","27.2"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-04","2","9","0","0.62","48.8","63.8","33.8"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-05","3","2","3","1.27","59.4","75.0","43.8"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-06","3","0","4","1.73","64.2","78.4","50.0"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-07","6","0","9","2.73","71.9","86.1","57.6"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-08","12","0","7","5.82","71.3","85.3","57.4"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-09","1","3","1","0.56","61.9","76.5","47.4"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-10","3","5","0","0.86","49.7","61.9","37.4"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-11","0","30","0","0.19","30.3","42.2","18.4"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2000-12","1","31","0","0.25","28.0","41.3","14.7"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2001-01","3","31","0","0.82","27.1","39.2","15.0"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2001-02","1","28","0","0.26","30.3","41.6","19.0"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2001-03","4","28","0","1.39","37.3","48.2","26.5"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2001-04","2","14","0","0.98","49.3","63.2","35.4"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2001-05","9","4","0","3.21","55.1","68.2","42.0"
"USW00093037","COLORADO SPRINGS MUNICIPAL AIRPORT, CO US","2001-06","4","0","7","2.14","66.5","81.2","51.8"
